Price,Year,Make,Model,Condition,Engine Cylinders,Odometer,Driven Wheels
21990,2018,buick,regal sportback preferred,good,4,4988,fwd
19990,2017,hyundai,sonata plug-in hybrid,good,4,29254,fwd
30990,2019,ford,ranger supercrew xl pickup,good,4,1834,fwd
6980,2006,nissan,pathfinder,good,6,146779,rwd
4100,2010,hyundai,elantra touring,good,4,130206,fwd
7980,2015,kia,forte,good,4,121682,fwd
9980,2013,infiniti,jx35,good,6,171226,fwd
19500,2008,ram,3500,good,6,161000,4wd
2300,1997,buick,lesabre,good,6,201566,fwd
10980,2007,gmc,yukon xl denali,good,8,181633,fwd
15000,2009,toyota,tacoma 4x4,good,6,213800,4wd
14897,2012,jeep,grand cherokee,good,6,112510,rwd
11400,2013,kia,sportage,good,4,92986,4wd
10980,2012,ford,mustang,good,6,159559,rwd
3500,1998,jeep,cherokee,good,6,273000,4wd
8950,2011,ford,f-150,excellent,6,164000,fwd
4000,1972,mercedes-benz,benz,fair,6,88100,rwd
50000,2019,toyota,tundra,like new,8,20010,4wd
3500,2009,hyundai,accent,good,4,111387,fwd
7480,2012,chrysler,300,good,6,187910,rwd
1200,2005,chevrolet,impala,fair,4,256806,fwd
8888,2005,nissan,altima,excellent,6,53320,fwd
26990,2016,toyota,tacoma,good,6,102089,rwd
500,2021,other,SPECIAL FINANCE PROGRAM 2020,fair,4,1400,fwd
98900,2001,ferrari,360 modena,good,8,20187,rwd
15277,2017,mini,cooper,good,4,94893,fwd
17977,2012,toyota,4runner,good,4,182263,4wd
12250,2007,toyota,4runner sport edition,good,4,189000,fwd
35495,other,other,Series,good,4,14000,rwd
16500,2011,ford,f250 super duty,excellent,8,201766,4wd
5800,2001,ford,crown vic,good,4,105000,fwd
3999,2006,pontiac,grand prix,good,6,207238,fwd
6000,2011,acura,mdx,good,6,197331,fwd
9400,2008,mercedes-benz,benz c350,good,6,129473,rwd
3850,2003,dodge,durango,good,8,215604,rwd
7900,2013,nissan,pathfinder,good,6,152400,fwd
4300,2012,kia,soul,good,4,174053,fwd
2800,2006,ford,taurus,good,6,230108,fwd
27995,2012,ford,f250 super duty,good,4,47380,fwd
3900,2010,chevrolet,cobalt,good,4,162218,fwd
0,2017,chevrolet,silverado 2500 z71 4x4,like new,8,102000,4wd
0,2016,ram,3500 laramie 4x4,like new,6,120000,4wd
7300,2007,lexus,rx350,good,6,181000,fwd
72900,2021,chevrolet,tahoe,good,8,19129,4wd
28900,2017,audi,q7,good,6,94601,4wd
17000,2019,chevrolet,trax,good,4,14898,4wd
3350,2010,chevrolet,hhr,good,4,177602,rwd
199,2017,dodge,charger,good,4,21737,fwd
5950,2007,mitsubishi,eclipse,good,4,72000,fwd
24590,2017,chevrolet,silverado 1500 regular,good,6,40784,fwd
3999,2006,honda,accord sedan,good,4,253076,fwd
8900,2013,toyota,prius,excellent,4,142900,fwd
9900,2016,other,scion ia,excellent,4,21000,fwd
34590,2018,ford,f150 super cab xl pickup 4d,good,6,20856,fwd
39990,2019,nissan,370z nismo coupe 2d,good,6,8373,rwd
